"mlId","title"
"279","Once Upon a Time... When We Were Colored (1995)"
"280","Up Close and Personal (1996)"
"281","River Wild, The (1994)"
"282","Time to Kill, A (1996)"
"283","Emma (1996)"
"284","Tin Cup (1996)"
"285","Secrets & Lies (1996)"
"286","English Patient, The (1996)"
"287","Marvin's Room (1996)"
"288","Scream (1996)"
"289","Evita (1996)"
"290","Fierce Creatures (1997)"
"291","Absolute Power (1997)"
"292","Rosewood (1997)"
"293","Donnie Brasco (1997)"
"294","Liar Liar (1997)"
"295","Breakdown (1997)"
"296","Promesse, La (1996)"
"297","Ulee's Gold (1997)"
"298","Face/Off (1997)"
"299","Hoodlum (1997)"
"300","Air Force One (1997)"
"301","In & Out (1997)"
"302","L.A. Confidential (1997)"
"303","Ulee's Gold (1997)"
"304","Fly Away Home (1996)"
"305","Ice Storm, The (1997)"
"306","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
"307","Devil's Advocate, The (1997)"
"308","FairyTale: A True Story (1997)"
"309","Deceiver (1997)"
"310","Rainmaker, The (1997)"
"311","Wings of the Dove, The (1997)"
"312","Midnight in the Garden of Good and Evil (1997)"
"313","Titanic (1997)"
"314","3 Ninjas: High Noon At Mega Mountain (1998)"
"315","Apt Pupil (1998)"
"316","As Good As It Gets (1997)"
"317","In the Name of the Father (1993)"
"318","Schindler's List (1993)"
"319","Everyone Says I Love You (1996)"
"320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)"
"321","Mother (1996)"
"322","Murder at 1600 (1997)"
"323","Dante's Peak (1997)"
"324","Lost Highway (1997)"
"325","Crash (1996)"
"326","G.I. Jane (1997)"
"327","Cop Land (1997)"
"328","Conspiracy Theory (1997)"
"329","Desperate Measures (1998)"
"330","187 (1997)"
"331","Edge, The (1997)"
"332","Kiss the Girls (1997)"
"333","Game, The (1997)"
"334","U Turn (1997)"
"335","How to Be a Player (1997)"
"336","Playing God (1997)"
"337","House of Yes, The (1997)"
"338","Bean (1997)"
"339","Mad City (1997)"
"340","Boogie Nights (1997)"
"341","Critical Care (1997)"
"342","Man Who Knew Too Little, The (1997)"
"343","Alien: Resurrection (1997)"
"344","Apostle, The (1997)"
"345","Deconstructing Harry (1997)"
"346","Jackie Brown (1997)"
"347","Wag the Dog (1997)"
"348","Desperate Measures (1998)"
"349","Hard Rain (1998)"
"350","Fallen (1998)"
"351","Prophecy II, The (1998)"
"352","Spice World (1997)"
"353","Deep Rising (1998)"
"354","Wedding Singer, The (1998)"
"355","Sphere (1998)"
"356","Client, The (1994)"
"357","One Flew Over the Cuckoo's Nest (1975)"
"358","Spawn (1997)"
"359","Assignment, The (1997)"
"360","Wonderland (1997)"
"361","Incognito (1997)"
"362","Blues Brothers 2000 (1998)"
"363","Sudden Death (1995)"
"364","Ace Ventura: When Nature Calls (1995)"
"365","Powder (1995)"
"366","Dangerous Minds (1995)"
"367","Clueless (1995)"
"368","Bio-Dome (1996)"
"369","Black Sheep (1996)"
"370","Mary Reilly (1996)"
"371","Bridges of Madison County, The (1995)"
"372","Jeffrey (1995)"
"373","Judge Dredd (1995)"
"374","Mighty Morphin Power Rangers: The Movie (1995)"
"375","Showgirls (1995)"
"376","Houseguest (1994)"
"377","Heavyweights (1994)"
"378","Miracle on 34th Street (1994)"
"379","Tales From the Crypt Presents: Demon Knight (1995)"
"380","Star Trek: Generations (1994)"
"381","Muriel's Wedding (1994)"
"382","Adventures of Priscilla, Queen of the Desert, The (1994)"
"383","Flintstones, The (1994)"
"384","Naked Gun 33 1/3: The Final Insult (1994)"
"385","True Lies (1994)"
"386","Addams Family Values (1993)"
"387","Age of Innocence, The (1993)"
"388","Beverly Hills Cop III (1994)"
"389","Black Beauty (1994)"
"390","Fear of a Black Hat (1993)"
"391","Last Action Hero (1993)"
"392","Man Without a Face, The (1993)"
"393","Mrs. Doubtfire (1993)"
"394","Radioland Murders (1994)"
"395","Robin Hood: Men in Tights (1993)"
"396","Serial Mom (1994)"
"397","Striking Distance (1993)"
"398","Super Mario Bros. (1993)"
"399","Three Musketeers, The (1993)"
"400","Little Rascals, The (1994)"
"401","Brady Bunch Movie, The (1995)"
"402","Ghost (1990)"
"403","Batman (1989)"
"404","Pinocchio (1940)"
"405","Mission: Impossible (1996)"
"406","Thinner (1996)"
"407","Spy Hard (1996)"
"408","Close Shave, A (1995)"
"409","Jack (1996)"
"410","Kingpin (1996)"
"411","Nutty Professor, The (1996)"
"412","Very Brady Sequel, A (1996)"
"413","Tales from the Crypt Presents: Bordello of Blood (1996)"
"414","My Favorite Year (1982)"
"415","Apple Dumpling Gang, The (1975)"
"416","Old Yeller (1957)"
"417","Parent Trap, The (1961)"
"418","Cinderella (1950)"
"419","Mary Poppins (1964)"
"420","Alice in Wonderland (1951)"
"421","William Shakespeare's Romeo and Juliet (1996)"
"422","Aladdin and the King of Thieves (1996)"
"423","E.T. the Extra-Terrestrial (1982)"
"424","Children of the Corn: The Gathering (1996)"
"425","Bob Roberts (1992)"
"426","Transformers: The Movie, The (1986)"
"427","To Kill a Mockingbird (1962)"
"428","Harold and Maude (1971)"
"429","Day the Earth Stood Still, The (1951)"
"430","Duck Soup (1933)"
"431","Highlander (1986)"
"432","Fantasia (1940)"
"433","Heathers (1989)"
"434","Forbidden Planet (1956)"
"435","Butch Cassidy and the Sundance Kid (1969)"
"436","American Werewolf in London, An (1981)"
"437","Amityville 1992: It's About Time (1992)"
"438","Amityville 3-D (1983)"
"439","Amityville: A New Generation (1993)"
"440","Amityville II: The Possession (1982)"
"441","Amityville Horror, The (1979)"
"442","Amityville Curse, The (1990)"
"443","Birds, The (1963)"
"444","Blob, The (1958)"
"445","Body Snatcher, The (1945)"
"446","Burnt Offerings (1976)"
"447","Carrie (1976)"
"448","Omen, The (1976)"
"449","Star Trek: The Motion Picture (1979)"
"450","Star Trek V: The Final Frontier (1989)"
"451","Grease (1978)"
"452","Jaws 2 (1978)"
"453","Jaws 3-D (1983)"
"454","Bastard Out of Carolina (1996)"
"455","Jackie Chan's First Strike (1996)"
"456","Beverly Hills Ninja (1997)"
"457","Free Willy 3: The Rescue (1997)"
"458","Nixon (1995)"
"459","Cry, the Beloved Country (1995)"
"460","Crossing Guard, The (1995)"
"461","Smoke (1995)"
"462","Like Water For Chocolate (Como agua para chocolate) (1992)"
"463","Secret of Roan Inish, The (1994)"
"464","Vanya on 42nd Street (1994)"
"465","Jungle Book, The (1994)"
"466","Red Rock West (1992)"
"467","Bronx Tale, A (1993)"
"468","Rudy (1993)"
"469","Short Cuts (1993)"
"470","Tombstone (1993)"
"471","Courage Under Fire (1996)"
"472","Dragonheart (1996)"
"473","James and the Giant Peach (1996)"
"474","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"
"475","Trainspotting (1996)"
"476","First Wives Club, The (1996)"
"477","Matilda (1996)"
"478","Philadelphia Story, The (1940)"
"479","Vertigo (1958)"
"480","North by Northwest (1959)"
"481","Apartment, The (1960)"
"482","Some Like It Hot (1959)"
"483","Casablanca (1942)"
"484","Maltese Falcon, The (1941)"
"485","My Fair Lady (1964)"
"486","Sabrina (1954)"
"487","Roman Holiday (1953)"
"488","Sunset Blvd. (1950)"
"489","Notorious (1946)"
"490","To Catch a Thief (1955)"
"491","Adventures of Robin Hood, The (1938)"
"492","East of Eden (1955)"
"493","Thin Man, The (1934)"
"494","His Girl Friday (1940)"
"495","Around the World in 80 Days (1956)"
"496","It's a Wonderful Life (1946)"
"497","Bringing Up Baby (1938)"
"498","African Queen, The (1951)"
"499","Cat on a Hot Tin Roof (1958)"
"500","Fly Away Home (1996)"
"501","Dumbo (1941)"
"502","Bananas (1971)"
"503","Candidate, The (1972)"
"504","Bonnie and Clyde (1967)"
"505","Dial M for Murder (1954)"
"506","Rebel Without a Cause (1955)"
"507","Streetcar Named Desire, A (1951)"
"508","People vs. Larry Flynt, The (1996)"
"509","My Left Foot (1989)"
"510","Magnificent Seven, The (1954)"
"511","Lawrence of Arabia (1962)"
"512","Wings of Desire (1987)"
"513","Third Man, The (1949)"
"514","Annie Hall (1977)"
"515","Boot, Das (1981)"
"516","Local Hero (1983)"
"517","Manhattan (1979)"
"518","Miller's Crossing (1990)"
"519","Treasure of the Sierra Madre, The (1948)"
"520","Great Escape, The (1963)"
"521","Deer Hunter, The (1978)"
"522","Down by Law (1986)"
"523","Cool Hand Luke (1967)"
"524","Great Dictator, The (1940)"
"525","Big Sleep, The (1946)"
"526","Ben-Hur (1959)"
"527","Gandhi (1982)"
"528","Killing Fields, The (1984)"
"529","My Life as a Dog (Mitt liv som hund) (1985)"
"530","Man Who Would Be King, The (1975)"
"531","Shine (1996)"
"532","Kama Sutra: A Tale of Love (1996)"
"533","Daytrippers, The (1996)"
"534","Traveller (1997)"
"535","Addicted to Love (1997)"
"536","Ponette (1996)"
"537","My Own Private Idaho (1991)"
"538","Anastasia (1997)"
"539","Mouse Hunt (1997)"
"540","Money Train (1995)"
"541","Mortal Kombat (1995)"
"542","Pocahontas (1995)"
"543","Mis�rables, Les (1995)"
"544","Things to Do in Denver when You're Dead (1995)"
"545","Vampire in Brooklyn (1995)"
"546","Broken Arrow (1996)"
"547","Young Poisoner's Handbook, The (1995)"
"548","NeverEnding Story III, The (1994)"
"549","Rob Roy (1995)"
"550","Die Hard: With a Vengeance (1995)"
"551","Lord of Illusions (1995)"
"552","Species (1995)"
"553","Walk in the Clouds, A (1995)"
"554","Waterworld (1995)"
"555","White Man's Burden (1995)"
"556","Wild Bill (1995)"
"557","Farinelli: il castrato (1994)"
"558","Heavenly Creatures (1994)"
"559","Interview with the Vampire (1994)"
"560","Kid in King Arthur's Court, A (1995)"
"561","Mary Shelley's Frankenstein (1994)"
"562","Quick and the Dead, The (1995)"
"563","Stephen King's The Langoliers (1995)"
"564","Tales from the Hood (1995)"
"565","Village of the Damned (1995)"
"566","Clear and Present Danger (1994)"
"567","Wes Craven's New Nightmare (1994)"
"568","Speed (1994)"
"569","Wolf (1994)"
"570","Wyatt Earp (1994)"
"571","Another Stakeout (1993)"
"572","Blown Away (1994)"
"573","Body Snatchers (1993)"
"574","Boxing Helena (1993)"
"575","City Slickers II: The Legend of Curly's Gold (1994)"
"576","Cliffhanger (1993)"
"577","Coneheads (1993)"
"578","Demolition Man (1993)"
"579","Fatal Instinct (1993)"
"580","Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
"581","Kalifornia (1993)"
"582","Piano, The (1993)"
"583","Romeo Is Bleeding (1993)"
"584","Secret Garden, The (1993)"
"585","Son in Law (1993)"
"586","Terminal Velocity (1994)"
"587","Hour of the Pig, The (1993)"
"588","Beauty and the Beast (1991)"
"589","Wild Bunch, The (1969)"
"590","Hellraiser: Bloodline (1996)"
"591","Primal Fear (1996)"
"592","True Crime (1995)"
"593","Stalingrad (1993)"
"594","Heavy (1995)"
"595","Fan, The (1996)"
"596","Hunchback of Notre Dame, The (1996)"
"597","Eraser (1996)"
"598","Big Squeeze, The (1996)"
"599","Police Story 4: Project S (Chao ji ji hua) (1993)"
"600","Daniel Defoe's Robinson Crusoe (1996)"
"601","For Whom the Bell Tolls (1943)"
"602","American in Paris, An (1951)"
"603","Rear Window (1954)"
"604","It Happened One Night (1934)"
"605","Meet Me in St. Louis (1944)"
"606","All About Eve (1950)"
"607","Rebecca (1940)"
"608","Spellbound (1945)"
"609","Father of the Bride (1950)"
"610","Gigi (1958)"
"611","Laura (1944)"
"612","Lost Horizon (1937)"
"613","My Man Godfrey (1936)"
"614","Giant (1956)"
"615","39 Steps, The (1935)"
"616","Night of the Living Dead (1968)"
"617","Blue Angel, The (Blaue Engel, Der) (1930)"
"618","Picnic (1955)"
"619","Extreme Measures (1996)"
"620","Chamber, The (1996)"
"621","Davy Crockett, King of the Wild Frontier (1955)"
"622","Swiss Family Robinson (1960)"
"623","Angels in the Outfield (1994)"
"624","Three Caballeros, The (1945)"
"625","Sword in the Stone, The (1963)"
"626","So Dear to My Heart (1949)"
"627","Robin Hood: Prince of Thieves (1991)"
"628","Sleepers (1996)"
"629","Victor/Victoria (1982)"
"630","Great Race, The (1965)"
"631","Crying Game, The (1992)"
"632","Sophie's Choice (1982)"
"633","Christmas Carol, A (1938)"
"634","Microcosmos: Le peuple de l'herbe (1996)"
"635","Fog, The (1980)"
"636","Escape from New York (1981)"
"637","Howling, The (1981)"
"638","Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)"
"639","Tin Drum, The (Blechtrommel, Die) (1979)"
"640","Cook the Thief His Wife & Her Lover, The (1989)"
"641","Paths of Glory (1957)"
"642","Grifters, The (1990)"
"643","The Innocent (1994)"
"644","Thin Blue Line, The (1988)"
"645","Paris Is Burning (1990)"
"646","Once Upon a Time in the West (1969)"
"647","Ran (1985)"
"648","Quiet Man, The (1952)"
"649","Once Upon a Time in America (1984)"
"650","Seventh Seal, The (Sjunde inseglet, Det) (1957)"
"651","Glory (1989)"
"652","Rosencrantz and Guildenstern Are Dead (1990)"
"653","Touch of Evil (1958)"
"654","Chinatown (1974)"
"655","Stand by Me (1986)"
"656","M (1931)"
"657","Manchurian Candidate, The (1962)"
"658","Pump Up the Volume (1990)"
"659","Arsenic and Old Lace (1944)"
"660","Fried Green Tomatoes (1991)"
"661","High Noon (1952)"
"662","Somewhere in Time (1980)"
"663","Being There (1979)"
"664","Paris, Texas (1984)"
"665","Alien 3 (1992)"
"666","Blood For Dracula (Andy Warhol's Dracula) (1974)"
"667","Audrey Rose (1977)"
"668","Blood Beach (1981)"
"669","Body Parts (1991)"
"670","Body Snatchers (1993)"
"671","Bride of Frankenstein (1935)"
"672","Candyman (1992)"
"673","Cape Fear (1962)"
"674","Cat People (1982)"
"675","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
"676","Crucible, The (1996)"
"677","Fire on the Mountain (1996)"
"678","Volcano (1997)"
"679","Conan the Barbarian (1981)"
"680","Kull the Conqueror (1997)"
"681","Wishmaster (1997)"
"682","I Know What You Did Last Summer (1997)"
"683","Rocket Man (1997)"
"684","In the Line of Fire (1993)"
"685","Executive Decision (1996)"
"686","Perfect World, A (1993)"
"687","McHale's Navy (1997)"
"688","Leave It to Beaver (1997)"
"689","Jackal, The (1997)"
"690","Seven Years in Tibet (1997)"
"691","Dark City (1998)"
"692","American President, The (1995)"
"693","Casino (1995)"
"694","Persuasion (1995)"
"695","Kicking and Screaming (1995)"
"696","City Hall (1996)"
"697","Basketball Diaries, The (1995)"
"698","Browning Version, The (1994)"
"699","Little Women (1994)"
"700","Miami Rhapsody (1995)"
"701","Wonderful, Horrible Life of Leni Riefenstahl, The (1993)"
"702","Barcelona (1994)"
"703","Widows' Peak (1994)"
"704","House of the Spirits, The (1993)"
"705","Singin' in the Rain (1952)"
"706","Bad Moon (1996)"
"707","Enchanted April (1991)"
"708","Sex, Lies, and Videotape (1989)"
"709","Strictly Ballroom (1992)"
"710","Better Off Dead... (1985)"
"711","Substance of Fire, The (1996)"
"712","Tin Men (1987)"
"713","Othello (1995)"
"714","Carrington (1995)"
"715","To Die For (1995)"
"716","Home for the Holidays (1995)"
"717","Juror, The (1996)"
"718","In the Bleak Midwinter (1995)"
"719","Canadian Bacon (1994)"
"720","First Knight (1995)"
"721","Mallrats (1995)"
"722","Nine Months (1995)"
"723","Boys on the Side (1995)"
"724","Circle of Friends (1995)"
"725","Exit to Eden (1994)"
"726","Fluke (1995)"
"727","Immortal Beloved (1994)"
"728","Junior (1994)"
"729","Nell (1994)"
"730","Queen Margot (Reine Margot, La) (1994)"
"731","Corrina, Corrina (1994)"
"732","Dave (1993)"
"733","Go Fish (1994)"
"734","Made in America (1993)"
"735","Philadelphia (1993)"
"736","Shadowlands (1993)"
"737","Sirens (1994)"
"738","Threesome (1994)"
"739","Pretty Woman (1990)"
"740","Jane Eyre (1996)"
"741","Last Supper, The (1995)"
"742","Ransom (1996)"
"743","Crow: City of Angels, The (1996)"
"744","Michael Collins (1996)"
"745","Ruling Class, The (1972)"
"746","Real Genius (1985)"
"747","Benny & Joon (1993)"
"748","Saint, The (1997)"
"749","MatchMaker, The (1997)"
"750","Amistad (1997)"
